"Title:","Revenue by Sport from the College Athletics Database"
"SubTitle:","Variable: Per Team for Men and Women"
"Time:","2006 - 2020"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Citation:","Office of Postsecondary Education, Office of Postsecondary Education (U.S. Department of Education) (2022-09-08). College Athletics: Revenue by Sport | Baseball | Basketball | Field Hockey | Football | Golf | Ice Hockey | Soccer | Softball | Swimming and Diving (combined) | Tennis | Track and Field and Cross Country (combined) | Volleyball | Wrestling | Per Team for Men and Women, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  069-001-012 doi:https://doi.org/10.6068/DP1845E74C2AB86"
"ColumnCount:",159
"RowCount:",2215

"All Institutions","Baseball, Per Team for Men and Women, 2020 ($)","Basketball, Per Team for Men and Women, 2020 ($)","Field Hockey, Per Team for Men and Women, 2020 ($)","Football, Per Team for Men and Women, 2020 ($)","Golf, Per Team for Men and Women, 2020 ($)","Ice Hockey, Per Team for Men and Women, 2020 ($)","Soccer, Per Team for Men and Women, 2020 ($)","Softball, Per Team for Men and Women, 2020 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2020 ($)","Tennis, Per Team for Men and Women, 2020 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2020 ($)","Volleyball, Per Team for Men and Women, 2020 ($)","Wrestling, Per Team for Men and Women, 2020 ($)","Baseball, Per Team for Men and Women, 2019 ($)","Basketball, Per Team for Men and Women, 2019 ($)","Field Hockey, Per Team for Men and Women, 2019 ($)","Football, Per Team for Men and Women, 2019 ($)","Golf, Per Team for Men and Women, 2019 ($)","Ice Hockey, Per Team for Men and Women, 2019 ($)","Soccer, Per Team for Men and Women, 2019 ($)","Softball, Per Team for Men and Women, 2019 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2019 ($)","Tennis, Per Team for Men and Women, 2019 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2019 ($)","Volleyball, Per Team for Men and Women, 2019 ($)","Wrestling, Per Team for Men and Women, 2019 ($)","Baseball, Per Team for Men and Women, 2018 ($)","Basketball, Per Team for Men and Women, 2018 ($)","Field Hockey, Per Team for Men and Women, 2018 ($)","Football, Per Team for Men and Women, 2018 ($)","Golf, Per Team for Men and Women, 2018 ($)","Ice Hockey, Per Team for Men and Women, 2018 ($)","Soccer, Per Team for Men and Women, 2018 ($)","Softball, Per Team for Men and Women, 2018 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2018 ($)","Tennis, Per Team for Men and Women, 2018 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2018 ($)","Volleyball, Per Team for Men and Women, 2018 ($)","Wrestling, Per Team for Men and Women, 2018 ($)","Baseball, Per Team for Men and Women, 2017 ($)","Basketball, Per Team for Men and Women, 2017 ($)","Field Hockey, Per Team for Men and Women, 2017 ($)","Football, Per Team for Men and Women, 2017 ($)","Golf, Per Team for Men and Women, 2017 ($)","Ice Hockey, Per Team for Men and Women, 2017 ($)","Soccer, Per Team for Men and Women, 2017 ($)","Softball, Per Team for Men and Women, 2017 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2017 ($)","Tennis, Per Team for Men and Women, 2017 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2017 ($)","Volleyball, Per Team for Men and Women, 2017 ($)","Wrestling, Per Team for Men and Women, 2017 ($)","Baseball, Per Team for Men and Women, 2016 ($)","Basketball, Per Team for Men and Women, 2016 ($)","Field Hockey, Per Team for Men and Women, 2016 ($)","Football, Per Team for Men and Women, 2016 ($)","Golf, Per Team for Men and Women, 2016 ($)","Ice Hockey, Per Team for Men and Women, 2016 ($)","Soccer, Per Team for Men and Women, 2016 ($)","Softball, Per Team for Men and Women, 2016 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2016 ($)","Tennis, Per Team for Men and Women, 2016 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2016 ($)","Volleyball, Per Team for Men and Women, 2016 ($)","Wrestling, Per Team for Men and Women, 2016 ($)","Baseball, Per Team for Men and Women, 2015 ($)","Basketball, Per Team for Men and Women, 2015 ($)","Field Hockey, Per Team for Men and Women, 2015 ($)","Football, Per Team for Men and Women, 2015 ($)","Golf, Per Team for Men and Women, 2015 ($)","Ice Hockey, Per Team for Men and Women, 2015 ($)","Soccer, Per Team for Men and Women, 2015 ($)","Softball, Per Team for Men and Women, 2015 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2015 ($)","Tennis, Per Team for Men and Women, 2015 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2015 ($)","Volleyball, Per Team for Men and Women, 2015 ($)","Wrestling, Per Team for Men and Women, 2015 ($)","Baseball, Per Team for Men and Women, 2014 ($)","Basketball, Per Team for Men and Women, 2014 ($)","Field Hockey, Per Team for Men and Women, 2014 ($)","Football, Per Team for Men and Women, 2014 ($)","Golf, Per Team for Men and Women, 2014 ($)","Ice Hockey, Per Team for Men and Women, 2014 ($)","Soccer, Per Team for Men and Women, 2014 ($)","Softball, Per Team for Men and Women, 2014 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2014 ($)","Tennis, Per Team for Men and Women, 2014 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2014 ($)","Volleyball, Per Team for Men and Women, 2014 ($)","Wrestling, Per Team for Men and Women, 2014 ($)","Baseball, Per Team for Men and Women, 2013 ($)","Basketball, Per Team for Men and Women, 2013 ($)","Field Hockey, Per Team for Men and Women, 2013 ($)","Football, Per Team for Men and Women, 2013 ($)","Golf, Per Team for Men and Women, 2013 ($)","Ice Hockey, Per Team for Men and Women, 2013 ($)","Soccer, Per Team for Men and Women, 2013 ($)","Softball, Per Team for Men and Women, 2013 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2013 ($)","Tennis, Per Team for Men and Women, 2013 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2013 ($)","Volleyball, Per Team for Men and Women, 2013 ($)","Wrestling, Per Team for Men and Women, 2013 ($)","Baseball, Per Team for Men and Women, 2012 ($)","Basketball, Per Team for Men and Women, 2012 ($)","Field Hockey, Per Team for Men and Women, 2012 ($)","Football, Per Team for Men and Women, 2012 ($)","Golf, Per Team for Men and Women, 2012 ($)","Ice Hockey, Per Team for Men and Women, 2012 ($)","Soccer, Per Team for Men and Women, 2012 ($)","Softball, Per Team for Men and Women, 2012 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2012 ($)","Tennis, Per Team for Men and Women, 2012 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2012 ($)","Volleyball, Per Team for Men and Women, 2012 ($)","Wrestling, Per Team for Men and Women, 2012 ($)","Baseball, Per Team for Men and Women, 2011 ($)","Basketball, Per Team for Men and Women, 2011 ($)","Field Hockey, Per Team for Men and Women, 2011 ($)","Football, Per Team for Men and Women, 2011 ($)","Golf, Per Team for Men and Women, 2011 ($)","Ice Hockey, Per Team for Men and Women, 2011 ($)","Soccer, Per Team for Men and Women, 2011 ($)","Softball, Per Team for Men and Women, 2011 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2011 ($)","Tennis, Per Team for Men and Women, 2011 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2011 ($)","Volleyball, Per Team for Men and Women, 2011 ($)","Wrestling, Per Team for Men and Women, 2011 ($)","Baseball, Per Team for Men and Women, 2010 ($)","Basketball, Per Team for Men and Women, 2010 ($)","Field Hockey, Per Team for Men and Women, 2010 ($)","Football, Per Team for Men and Women, 2010 ($)","Golf, Per Team for Men and Women, 2010 ($)","Ice Hockey, Per Team for Men and Women, 2010 ($)","Soccer, Per Team for Men and Women, 2010 ($)","Softball, Per Team for Men and Women, 2010 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2010 ($)","Tennis, Per Team for Men and Women, 2010 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2010 ($)","Volleyball, Per Team for Men and Women, 2010 ($)","Wrestling, Per Team for Men and Women, 2010 ($)","Baseball, Per Team for Men and Women, 2009 ($)","Basketball, Per Team for Men and Women, 2009 ($)","Field Hockey, Per Team for Men and Women, 2009 ($)","Football, Per Team for Men and Women, 2009 ($)","Golf, Per Team for Men and Women, 2009 ($)","Ice Hockey, Per Team for Men and Women, 2009 ($)","Soccer, Per Team for Men and Women, 2009 ($)","Softball, Per Team for Men and Women, 2009 ($)","Swimming and Diving (combined), Per Team for Men and Women, 2009 ($)","Tennis, Per Team for Men and Women, 2009 ($)","Track and Field and Cross Country (combined), Per Team for Men and Women, 2009 ($)","Volleyball, Per Team for Men and Women, 2009 ($)","Wrestling, Per Team for Men and Women, 2009 ($)"
"Texas Christian University",8195396,19331844,,38723223,2566691,,3097561,,4470629,3815997,5276138,2874417,,4612605,18276012,,61245684,1687907,,1786784,,2774360,2028554,2818937,2007200,,4914925,21294128,,65384773,1266871,,1427062,,2005065,1829096,2478575,1525162,,5849937,23915034,,56584276,1498735,,1722684,,2062767,2158746,3118419,2023717,,4360191,17010875,,58775636,1013516,,1161727,,1368412,1604896,2167091,1425088,,4069154,14613650,,52009661,1141413,,1216876,,1597302,1651467,2374802,1306733,,4268468,11485475,,41259536,1540866,,1523611,,2148108,2005885,2860993,1856032,,3206581,10616579,,40451397,1459632,,1786439,,2275368,2132918,2891868,1600333,,3122155,9780307,,32464146,1417045,,1538310,,2167763,2024876,2696890,1447114,,3055379,9613816,,25984011,1442551,,1570370,,2031857,2073547,2726890,1292477,,3076442,7831321,,22608112,1300949,,1403761,,1852372,1850385,2390827,1206620,,2677501,7646217,,20609361,1308829,,1329874,,1730652,1855921,2308171,1307544,
"Vanderbilt University",7225951,15625749,,38858838,2446364,,2907018,,,2777333,2646490,,,5495416,20106553,,33385110,2324712,,2485313,,,2446440,2368796,,,6607679,15277795,,32108897,2296359,,2900189,,,2889124,2535397,,,6144070,15250880,,30331584,2330392,,2647142,,,2836276,2344287,,,5888446,14551303,,29036478,2294779,,2094286,,,2849433,2236707,,,5985204,13574671,,26782777,1987491,,2003929,,,2511810,2071626,,,4538602,14593112,,27409392,2263110,,1771186,,,2114226,2207327,,,4245918,12970073,,24975402,2128746,,1705902,,,2031683,2084584,,,3843096,14341520,,22628642,2218375,,1710928,,,1699971,1716379,,,3996149,14393001,,21282267,1964670,,1472241,,,1879153,1633902,,,4032412,13838240,,22455110,1261022,,1401308,,,1901858,1430322,,,3323273,13747766,,22506492,1215888,,1340042,,,1681155,1444311,,
"University of Mississippi",7132659,10453980,,49111536,654055,,667969,697807,,634945,1426140,374474,,2865618,10805533,,53015898,292944,,286863,366545,,294848,575747,268867,,6803189,15905839,,48247277,2120212,,2467429,2607802,,2484662,4260935,2245087,,5788000,10940597,,51212053,226921,,504949,392732,,414558,544219,287386,,4979550,11099164,,62681760,253862,,419050,499898,,325287,509942,255516,,4639931,9537072,,56823049,65817,,242826,173148,,185939,112501,86959,,3505368,8040919,,53399653,45932,,198274,108671,,135504,59408,58858,,3477425,7535012,,43992194,114223,,202002,80022,,167860,62014,77816,,3649893,7891843,,41136644,146071,,205996,54699,,152293,30400,90864,,884241,7065214,,26890956,513174,,558024,544238,,706487,1120032,588888,,1285789,7308632,,28515471,13004,,9913,17121,,47488,27439,37895,,1431553,6923161,,28409774,8561,,18171,8112,,36468,41355,430,
"University of Arkansas",6079690,18826611,,52049012,2736607,,2428253,2755082,1737503,2162092,7637967,1661423,,3869662,19352654,,70283699,185041,,115956,147816,71428,129274,751605,217133,,6733198,21922477,,76463785,127027,,116991,174059,81418,116630,963056,236748,,4570801,17766341,,67851084,171014,,129114,186354,99267,206672,886213,273234,,4050636,17021724,,71197898,143762,,131883,116639,123442,218731,893644,240033,,3643967,16569552,,68970599,89921,,123409,93007,112818,155866,865786,224955,,3360975,16574462,,66179978,188854,,137486,63395,114854,125241,485317,185689,,3182532,16045535,,57057801,100964,,118328,78675,86032,117530,506000,206965,,2918846,15797274,,61492925,98252,,90895,100991,113463,109138,658470,157760,,2759403,16973386,,64193826,79808,,103197,79369,113865,129196,351667,154866,,2281575,14902171,,61131707,60449,,118120,77917,117242,124048,399863,126278,,2313343,15747245,,48524244,74777,,137025,138643,87262,138751,699757,105181,
"Binghamton University",6028335,3208756,,,183549,,1390620,713278,681650,577193,875128,605877,678300,3460784,3775889,,,249501,,1506868,708844,657590,673845,893501,654663,717361,960268,3146744,,,212297,,1209972,647875,550023,609988,767719,625152,607027,693065,3003035,,,207813,,1190040,629027,525522,573772,723334,531623,661992,737933,2908503,,,175917,,1275148,542500,525497,565626,778271,561423,599587,715280,2760664,,,181129,,1219961,620439,488430,543555,741501,553883,698663,670704,2824991,,,188127,,1130421,566810,551803,525410,725897,560478,686677,651285,2545570,,,172696,,1087968,551839,,475149,669047,476851,545137,631011,2543616,,,164754,,1080493,543937,,443105,637500,477691,520113,590476,2392370,,,134220,,1018082,515708,490723,437562,599610,470607,478760,515398,2035414,,,124439,,830627,423092,490362,417631,584309,433913,362468,491996,2231237,,,98220,,821477,352822,466073,405024,522210,404136,325400
