Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | Automobiles | Motorcycles | Acura | Alfa Romeo | AM General | American Motors | Audi | Austin/Austin Healey | BMW | Brockway | BSA | Buick/Opel | Cadillac | Chevrolet | Chrysler | Daewoo | Datsun/Nissan | Diahatsu | Diamond Reo/Reo | Dodge | Eagle | Fiat | Ford | Freightliner | FWD | GMC | Honda | Hyundai | Imperial | Infiniti | International Harvester/Navistar | Isuzu | Iveco/Magirus | Jaguar | Jeep/Kaiser-Jeep/Willys-Jeep | Kenworth | Kia | Lancia | Land Rover | Lexus | Lincoln | Mack | Mazda | Mercedes-Benz | Mercury | Merkur | MG | Mitsubishi | Oldsmobile | Other Domestic Manufacturers | Other Import | Other Make | Peterbilt | Peugeot | Plymouth | Pontiac | Porsche | Renault | Saab | Saturn | Scion | Smart | Sterling | Subaru | Suzuki | Toyota | Triumph | Unknown Make | Volkswagen | Volvo | Yugo | Ducati | Harley-Davidson | Kawasaki | Moto-Guzzi | Norton | Victory | Yamaha | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845C8C61307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColumnCount:,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RowCount:,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,"Automobiles, Acura, All Models, All Vehicle Years, #","Automobiles, Alfa Romeo, All Models, All Vehicle Years, #","Automobiles, AM General, All Models, All Vehicle Years, #","Automobiles, American Motors, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, Austin/Austin Healey, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Brockway, All Models, All Vehicle Years, #","Automobiles, BSA, All Models, All Vehicle Years, #","Automobiles, Buick/Opel, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Chrysler, All Models, All Vehicle Years, #","Automobiles, Daewoo, All Models, All Vehicle Years, #","Automobiles, Datsun/Nissan, All Models, All Vehicle Years, #","Automobiles, Diahatsu, All Models, All Vehicle Years, #","Automobiles, Diamond Reo/Reo, All Models, All Vehicle Years, #","Automobiles, Dodge, All Models, All Vehicle Years, #","Automobiles, Eagle, All Models, All Vehicle Years, #","Automobiles, Fiat, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Freightliner, All Models, All Vehicle Years, #","Automobiles, FWD, All Models, All Vehicle Years, #","Automobiles, GMC, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Hyundai, All Models, All Vehicle Years, #","Automobiles, Imperial, All Models, All Vehicle Years, #","Automobiles, Infiniti, All Models, All Vehicle Years, #","Automobiles, International Harvester/Navistar, All Models, All Vehicle Years, #","Automobiles, Isuzu, All Models, All Vehicle Years, #","Automobiles, Iveco/Magirus, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Automobiles, Jeep/Kaiser-Jeep/Willys-Jeep, All Models, All Vehicle Years, #","Automobiles, Kenworth, All Models, All Vehicle Years, #","Automobiles, Kia, All Models, All Vehicle Years, #","Automobiles, Lancia, All Models, All Vehicle Years, #","Automobiles, Land Rover, All Models, All Vehicle Years, #","Automobiles, Lexus, All Models, All Vehicle Years, #","Automobiles, Lincoln, All Models, All Vehicle Years, #","Automobiles, Mack, All Models, All Vehicle Years, #","Automobiles, Mazda, All Models, All Vehicle Years, #","Automobiles, Mercedes-Benz, All Models, All Vehicle Years, #","Automobiles, Mercury, All Models, All Vehicle Years, #","Automobiles, Merkur, All Models, All Vehicle Years, #","Automobiles, MG, All Models, All Vehicle Years, #","Automobiles, Mitsubishi, All Models, All Vehicle Years, #","Automobiles, Oldsmobile, All Models, All Vehicle Years, #","Automobiles, Other Domestic Manufacturers, All Models, All Vehicle Years, #","Automobiles, Other Import, All Models, All Vehicle Years, #","Automobiles, Other Make, All Models, All Vehicle Years, #","Automobiles, Peterbilt, All Models, All Vehicle Years, #","Automobiles, Peugeot, All Models, All Vehicle Years, #","Automobiles, Plymouth, All Models, All Vehicle Years, #","Automobiles, Pontiac, All Models, All Vehicle Years, #","Automobiles, Porsche, All Models, All Vehicle Years, #","Automobiles, Renault, All Models, All Vehicle Years, #","Automobiles, Saab, All Models, All Vehicle Years, #","Automobiles, Saturn, All Models, All Vehicle Years, #","Automobiles, Scion, All Models, All Vehicle Years, #","Automobiles, Smart, All Models, All Vehicle Years, #","Automobiles, Sterling, All Models, All Vehicle Years, #","Automobiles, Subaru, All Models, All Vehicle Years, #","Automobiles, Suzuki, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Automobiles, Triumph, All Models, All Vehicle Years, #","Automobiles, Unknown Make, All Models, All Vehicle Years, #","Automobiles, Volkswagen, All Models, All Vehicle Years, #","Automobiles, Volvo, All Models, All Vehicle Years, #","Automobiles, Yugo, All Models, All Vehicle Years, #","Motorcycles, American Motors, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, BSA, All Models, All Vehicle Years, #","Motorcycles, Ducati, All Models, All Vehicle Years, #","Motorcycles, Harley-Davidson, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #","Motorcycles, Kawasaki, All Models, All Vehicle Years, #","Motorcycles, Moto-Guzzi, All Models, All Vehicle Years, #","Motorcycles, Norton, All Models, All Vehicle Years, #","Motorcycles, Other Make, All Models, All Vehicle Years, #","Motorcycles, Peugeot, All Models, All Vehicle Years, #","Motorcycles, Suzuki, All Models, All Vehicle Years, #","Motorcycles, Triumph, All Models, All Vehicle Years, #","Motorcycles, Unknown Make, All Models, All Vehicle Years, #","Motorcycles, Victory, All Models, All Vehicle Years, #","Motorcycles, Yamaha, All Models, All Vehicle Years, #"
Jan-75,,,,154,2,,,,,360,90,1734,116,,84,,,390,,18,1598,,,,48,,6,,,,,,,,,,,,48,,12,,240,,32,,320,,140,74,,,380,486,10,,,,,,,4,,88,,12,362,6,,,,,,,,,,,,,,,,,
Feb-75,,,,146,6,,,,,342,102,1622,104,,88,,,360,,18,1392,,,,64,,,,,,,,,,,,,,32,,24,,178,,16,,314,,184,94,,,370,402,12,,,,,,,4,,84,,24,288,16,,,,,,,,,,,,,,,,,
Mar-75,,,,176,6,,,,,372,112,1856,92,,102,,,434,,18,1694,,,,68,,10,,,,,,,,,,,,46,,22,,252,,22,,336,,234,114,,,374,484,16,,,,,,,8,,90,,18,318,6,,,,,,,,,,,,,,,,,
Apr-75,,,,168,8,,,,,330,114,1810,112,,102,,,406,,26,1578,,,,104,,2,,,,,,,,,,,,50,,16,,196,,18,,320,,390,108,,,402,462,22,,,,,,,10,,110,,16,336,12,,,,,,,,,,,,,,,,,
May-75,,,,202,4,,,,,432,130,2162,102,,114,,,484,,18,1886,,,,172,,6,,,,,,,,,,,,40,,32,,286,,18,,380,,652,124,,,470,532,16,,,,,,,4,,140,,20,364,16,,,,,,,,,,,,,,,,,
